P05,P17,P83,P95
40,55,70,80
50,70,90,115
5,68,132,180
40,55,65,80
50,75,100,150
200,220,280,300
40,65,130,155
80,100,120,150
30,50,80,120
55,90,95,150
50,60,100,120
100,200,200,100
30,45,75,90
30,40,60,100
50,80,120,150
70,100,200,230
30,50,70,80
40,50,70,80
,80,130,
100,150,200,300
50,80,150,200
30,,,50
40,50,60,70
150,200,600,700
65,80,140,160
0,20,70,80
60,63,79,82
31,38,164,140
60,60,70,70
100, , ,200
80,100,120,140
35,60,80,110
50,70,140,200
50,60,100,200
25,50,75,100
100,100,150,150
40,60,100,130
30,40,100,150
30,100,400,200
30, , ,120
35,45,165,190
50,80,100,140
50,70,120,150
100,,,
70,80,140,170
50,65,150,200
200,225,250,400
 , , ,80
120,130,150,170
30,45,55,60
30,45,65,70
45,60,140,200
50,70,90,110
80,110,130,200
 ,80,120, 
30,40,80,90
35,70,120,150
30,50,100,120
75,110,165,190
10,15,60,100
30,50,90,120
20,30,80,120
50, , ,300
60,80,120,150
70,100,140,170
50,60,85,100
 ,100, ,
40,60,80,100
150,160,180,200
20,40,50,60
50,80,100,130
50,70,120,170
70,80,145,160
30,80,250,500
30,40,60,70
50,60,160,200
60,90,150,250
 ,100,300,
60,80,110,130
 , ,500,
75,100,125,150
 ,20,40,
80,150,350,450
150,200,220,250
60,100,100,60
30,50,70,100
50,60,80,100
100,150,200,250
30, , ,200